id,Línea,Nombre,IdaEntrada,IdaCambio,IdaSalida,VueltaEntrada,VueltaCambio,VueltaSalida,anterior,siguiente
522,5,Ñuble,3,3,5,5,3,3,1650,1240
523,5,Rodrigo de Araya,2,2,6,6,2,2,1240,1060
524,5,Carlos Valdovinos,2,2,5,5,2,2,1060,540
525,5,Camino Agrícola,3,3,6,6,3,3,540,790
526,5,San Joaquín,2,2,5,5,2,2,790,1090
527,5,Pedrero,2,2,6,6,2,2,1090,850
528,5,Mirador,3,3,5,5,3,3,850,920
529,5,Bellavista de La Florida,2,2,6,6,2,2,920,770
530,5,Vicente Valdés,3,3,5,5,3,3,770,0
601,6,Cerrillos,2,2,6,6,2,2,0,1570
602,6,Lo Valledor,3,3,5,5,3,3,1570,1480
603,6,Presidente Pedro Aguirre Cerda,2,2,6,6,2,2,1480,1610
604,6,Franklin,3,3,5,5,3,3,1610,640
605,6,Bío Bío,2,2,5,5,2,2,640,2120
606,6,Ñuble,3,3,6,6,3,3,2120,1960
607,6,Estadio Nacional,2,2,5,5,2,2,1960,930
608,6,Ñuñoa,2,2,6,6,2,2,930,1820
609,6,Inés de Suárez,1,1,5,5,1,1,1820,2250
610,6,Los Leones,2,2,6,6,2,2,2250,
